,city_01,lng_gis,lat_gis
227,中山市,1055848.6813999715,2501279.455658583
228,大庆市,1784751.3432893332,5271504.03220246
229,晋城市,926622.5499019009,3952565.0991627467
230,文昌市,795842.413853768,2192016.2957018395
231,柳州市,638554.3218279339,2760767.1463534655
232,商洛市,676357.8860808453,3726237.2019213294
233,广安市,371697.0334430895,3368155.447889678
234,阜阳市,1221656.5520909738,3669985.618738805
235,杭州市,1611554.9566428682,3365028.019289183
236,乐东黎族自治县,607858.0098938078,2061494.1455746547
237,潜江市,957645.4639994665,3367347.6865889826
238,内江市,200780.40532343122,3284312.543320225
239,贺州市,841309.6120267956,2699300.563638966
240,长春市,1915881.9361941402,5072375.143770804
241,肇庆市,929722.2025719407,2610520.693249655
242,本溪市,1891856.4245189074,4700850.584797872
243,宝鸡市,426428.57837838493,3806027.88018264
244,汉中市,416253.45124365325,3663193.554109455
245,广元市,290952.4687512967,3573022.2959997333
246,福州市,1642901.2115590759,2928270.2616572105
247,南宁市,547580.9532431265,2550919.304493045
248,朔州市,898632.1533037606,4397344.172969346
249,马鞍山市,1511132.702195543,3539478.792473926
250,万宁市,746177.1934021716,2083254.4371081174
251,荆州市,941410.4300549558,3328533.9563291264
252,和田地区,-1934834.181891377,4466182.085869005
253,德宏傣族景颇族自治州,-507820.85549829935,2753621.68893995
254,文山壮族苗族自治州,164490.99762104696,2624729.3824701244
255,威海市,1752164.2734445091,4202811.169928975
256,黔东南苗族侗族自治州,555707.8306306658,2932848.753296243
257,龙岩市,1382520.6993869066,2827412.958715348
258,烟台市,1637102.5937891114,4213200.803295677
259,清远市,995599.503556804,2698581.73084372
260,南昌市,1285987.7867420143,3198075.509058538
261,丹东市,1890803.002623261,4616891.1098605655
262,泰安市,1314982.6578803842,4023630.278601325
263,阿勒泰地区,-989842.03961186,5385504.384280599
264,兴安盟,1531214.2020365582,5208662.2263421295
265,朝阳市,1503809.9589622,4667480.049550785
266,厦门市,1528390.8186947086,2765771.7591202143
267,丽江市,-243736.62938891468,3003028.0462870426
268,安顺市,294618.88931013783,2877812.6281245425
269,忻州市,882587.9361580256,4314805.711594757
270,北海市,635942.9076173038,2388077.002772729
271,昭通市,105072.27934984109,3066404.64519754
272,辽源市,1916869.1554380783,4889367.063840955
273,鄂州市,1150396.744174307,3375816.502824633
274,合肥市,1375605.8789687457,3578945.94311094
275,永州市,874321.658136205,2856928.3095041486
276,运城市,778960.0108449988,3899600.5428129467
277,许昌市,1027365.797717352,3786435.078192061
278,铜陵市,1445959.4853305425,3465069.840086863
279,玉溪市,-90193.53392668869,2682884.8224815642
280,白沙黎族自治县,641779.4761209316,2125640.4583872543
281,西安市,572437.4776560973,3775764.4420631407
282,铜川市,594040.6762631582,3896720.79367409
283,巴音郭楞蒙古自治州,-1275500.3480947637,4577679.450813617
284,菏泽市,1201640.013204413,3918594.23201568
285,广州市,1066901.3182744586,2591798.96156991
286,西宁市,-84810.38957210847,4096245.5200992576
287,大兴安岭地区,1602748.0982182582,5924356.292167977
288,苏州市,1707932.8577147927,3543293.6592764687
289,无锡市,1650774.2367281457,3553480.1778666633
290,鄂尔多斯市,553732.8285323291,4364103.62077478
291,怀化市,704626.6117668673,3049693.804728946
292,鞍山市,1770735.0534567712,4618706.930057682
293,六安市,1288986.745860747,3544980.214226985
294,咸宁市,1098699.3788128302,3294388.6137608457
295,日照市,1524447.6625926124,3987122.2151873657
296,温州市,1744075.480999912,3142878.652489846
297,张家口市,1093113.1362040688,4549078.725261536
298,襄阳市,872309.5537438694,3540987.5045725433
299,泸州市,271347.2310834428,3149388.668220253
300,沈阳市,1753712.9253776432,4774440.829027744
301,石河子市,-1253137.8304520291,5147982.355906249
302,唐山市,1390310.052615615,4445784.547477297
303,定安县,742475.2790448653,2157164.49328147
304,临夏回族自治州,72516.11437835488,3954687.096070473
305,宣城市,1542858.4646989286,3446893.9323931364
306,商丘市,1209832.7956247807,3822646.0061931117
307,莆田市,1612253.6886344694,2854188.085449312
308,天水市,292532.11629188,3837895.429590889
309,图木舒克市,-1979640.8648817616,4835685.872363758
310,焦作市,946354.9052108772,3897826.439455076
311,山南地区,-1053732.8776047528,3234768.201486913
312,茂名市,806124.2847438798,2435042.610443096
313,绍兴市,1727555.2254222876,3358361.1777390204
314,神农架林区,734960.1544580626,3499234.42467758
315,深圳市,1126793.9184229996,2514052.773494464
316,张掖市,-204309.2286370429,4343624.646876861
317,阳泉市,982676.833164972,4228824.962218436
318,甘南藏族自治州,18197.269716684223,3812359.8851347114
319,红河哈尼族彝族自治州,-7873.555796947869,2601833.6153844097
320,东莞市,1103301.5747437123,2549216.834038524
321,海口市,752917.1506613549,2200187.4760851925
322,平凉市,376905.806288967,3909581.4343580506
323,金昌市,-17856.273146578336,4272453.085173942
324,哈尔滨市,2054876.021235964,5253175.920901275
325,重庆市,486896.90411664953,3326107.0609884583
326,萍乡市,1083823.1844161043,3058325.9709928865
327,临沧市,-349880.1729684371,2673621.048424753
328,阿坝藏族羌族自治州,-7552.984516957936,3598442.516691098
329,通化市,1990573.0728554544,4805054.455759428
330,石嘴山市,371567.2872645464,4320399.3618148435
331,邢台市,1105431.855679482,4141957.992370298
332,五家渠市,-1129912.8702017479,5121755.27555427
333,喀什地区,-2233218.742598865,4697800.969840414
334,宁波市,1823163.6840908818,3358657.2189282095
335,江门市,982282.9764384708,2460261.078089143
336,孝感市,1061124.4288847344,3458952.257283785
337,保定市,1121375.668519238,4345368.319548312
338,怒江傈僳族自治州,-408612.1220697921,3016343.144329209
339,双鸭山市,2372718.7594216242,5472703.238366388
340,岳阳市,1012216.0465263751,3227887.5862465543
341,安庆市,1325705.8536258116,3419367.0713823237
342,株洲市,1047627.0548060527,3012792.762448661
343,黑河市,1879074.8813458262,5634141.733424965
344,娄底市,856582.7988225445,3074749.008320237
345,抚州市,1335098.6780650727,3072446.4125771136
346,松原市,1803325.0243748503,5096694.073380755
347,五指山市,658866.2051513164,2083185.9921083727
348,长治市,940894.2984696169,4049506.5072088474
349,南京市,1528141.809160556,3585416.8798302133
350,常德市,842300.0845118058,3247485.066358275
351,仙桃市,1017540.9919592428,3364572.770782191
352,眉山市,89437.5797336799,3319595.0963800377
353,舟山市,1878105.6710745248,3444555.3867230564
354,云浮市,889804.7656267781,2529155.378556278
355,迪庆藏族自治州,-344003.22006799397,3123312.351922323
356,滁州市,1451124.3621716762,3647595.210983085
357,桂林市,753085.1583838697,2807525.6120243045
358,阿拉尔市,-1771476.4148222278,4856008.217134391
359,阿克苏地区,-1737506.0582565325,4888540.747976655
360,西双版纳傣族自治州,-230281.8972439169,2443067.813678255
361,,1.0,2.0
362,,1431676.5525738022,3524071.322614747
363,,-770244.3064164222,3870272.4995480124
364,,-82151.51069836787,3895266.832628106
